method,step,epoch,layer,log_pearson,log_spearman,log_ratio_spread,A_raw,A_residual,R,config_fingerprint
syn_diag,100,1,fc2,0.8182574714092895,0.7504062855669421,3.959642348206777,8.895694748957906,6.173875235559347,0.6940295738320597,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,150,1,conv1,0.4227733690808675,0.5308273760693777,1.5861084708105153,1.789138111015843,1.5854194749779134,0.8861358802969874,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,150,1,conv2,0.8145973699057223,0.823630840291881,1.4281510772811967,2.4745854208697593,1.4238342173023628,0.575382932952833,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,150,1,fc1,0.7702132014557634,0.7291821612495805,3.8889269011258802,8.99178059563823,13.231763625003635,1.4715398673564335,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,150,1,fc2,0.8798067598625163,0.7384446831089698,3.0483659060127875,6.678538522310965,5.9683706975577815,0.8936641868006407,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,200,1,conv1,0.4706201717877673,0.5962439939060119,1.6390863565526337,1.8778024644378621,1.6405329757521963,0.8736451287187469,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,200,1,conv2,0.8193774684806531,0.8257506735662874,1.4102841110183864,2.4463997052431794,1.4123657728799683,0.5773242082448563,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,200,1,fc1,0.774809066280995,0.6862887295957072,3.459107805209299,9.109708187496558,13.171367725703101,1.4458605538848472,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,200,1,fc2,0.8792419361478491,0.7106978197199003,3.1607657982689217,7.639124625426503,5.1468199412576805,0.673744727782907,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,250,2,conv1,0.5671822291137986,0.6588772998945271,1.4708246955398918,1.8650789667170902,1.4698108124458742,0.7880689443584437,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,250,2,conv2,0.8152495621216453,0.8269035226485334,1.373852051932111,2.4000330051005427,1.37061638341856,0.5710823061623446,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,250,2,fc1,0.825079086164716,0.6650399523436166,3.2329002648967236,7.825879947392194,7.034721584523734,0.8989048684382008,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,250,2,fc2,0.8936333955934467,0.7158421006500937,3.535061604408566,7.273006349630121,5.560695171338754,0.7645662473017848,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,300,2,conv1,0.6348304956322681,0.7191403961092231,1.3634078661953375,1.9202366576080807,1.3656730954204217,0.7112004085587844,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,300,2,conv2,0.7968305225838529,0.8256110591572415,1.3777169293237348,2.394602112176793,1.3746220578114672,0.5740502987203492,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,300,2,fc1,0.744282214097134,0.640582161502059,5.099366564432581,9.539465084240064,12.95273733423845,1.357805413600955,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,300,2,fc2,0.8575010088315672,0.6806827647751392,4.339024392828089,11.282266206919903,13.263992563336853,1.175649671800996,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,350,2,conv1,0.7219072694275795,0.7567238954646666,1.356787164240309,1.9214082612654408,1.3572395637268402,0.7063774998203459,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,350,2,conv2,0.7819961660103135,0.8180606018494464,1.466676464202727,2.4673035463413733,1.4606258899792066,0.5919927818144173,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
