method,metric,mean,std,n,mean_pm_std
syn_diag,oracle_A_diag_raw_fc1,,,0,N/A
syn_diag,oracle_A_diag_raw_fc2,,,0,N/A
syn_diag,oracle_R_diag_new_conv1,,,0,N/A
syn_diag,oracle_R_diag_new_conv2,,,0,N/A
syn_diag,oracle_R_diag_new_fc1,,,0,N/A
syn_diag,oracle_R_diag_new_fc2,,,0,N/A
syn_diag,oracle_R_diag_old_conv1,,,0,N/A
syn_diag,oracle_R_diag_old_conv2,,,0,N/A
syn_diag,oracle_R_diag_old_fc1,,,0,N/A
syn_diag,oracle_R_diag_old_fc2,,,0,N/A
syn_diag,oracle_R_full_new_conv1,,,0,N/A
syn_diag,oracle_R_full_new_conv2,,,0,N/A
syn_diag,oracle_R_full_new_fc1,,,0,N/A
syn_diag,oracle_R_full_new_fc2,,,0,N/A
syn_diag,oracle_R_full_old_conv1,,,0,N/A
syn_diag,oracle_R_full_old_conv2,,,0,N/A
syn_diag,oracle_R_full_old_fc1,,,0,N/A
syn_diag,oracle_R_full_old_fc2,,,0,N/A
syn_diag,oracle_S_full_new_conv1,,,0,N/A
syn_diag,oracle_S_full_new_conv2,,,0,N/A
syn_diag,oracle_S_full_new_fc1,,,0,N/A
syn_diag,oracle_S_full_new_fc2,,,0,N/A
syn_diag,oracle_S_full_old_conv1,,,0,N/A
syn_diag,oracle_S_full_old_conv2,,,0,N/A
syn_diag,oracle_S_full_old_fc1,,,0,N/A
syn_diag,oracle_S_full_old_fc2,,,0,N/A
syn_diag,oracle_S_full_raw_conv1,,,0,N/A
syn_diag,oracle_S_full_raw_conv2,,,0,N/A
syn_diag,oracle_S_full_raw_fc1,,,0,N/A
syn_diag,oracle_S_full_raw_fc2,,,0,N/A
syn_diag,oracle_private_delta_stale_diag_conv1,,,0,N/A
syn_diag,oracle_private_delta_stale_diag_conv2,,,0,N/A
syn_diag,oracle_private_delta_stale_diag_fc1,,,0,N/A
syn_diag,oracle_private_delta_stale_diag_fc2,,,0,N/A
syn_diag,oracle_private_delta_stale_full_conv1,,,0,N/A
syn_diag,oracle_private_delta_stale_full_conv2,,,0,N/A
syn_diag,oracle_private_delta_stale_full_fc1,,,0,N/A
syn_diag,oracle_private_delta_stale_full_fc2,,,0,N/A
syn_diag,peak_cuda_memory,89969664.0,,1,89969664.0
syn_diag,peak_cuda_memory_allocated,89969664.0,,1,89969664.0
syn_diag,peak_cuda_memory_core,89969664.0,,1,89969664.0
syn_diag,peak_cuda_memory_overall,89969664.0,,1,89969664.0
syn_diag,peak_cuda_memory_reserved,119537664.0,,1,119537664.0
syn_diag,preconditioner_state_bytes,827688.0,,1,827688.0
syn_diag,refresh_A_new_diag_conv1,,,0,N/A
syn_diag,refresh_A_new_diag_conv2,,,0,N/A
syn_diag,refresh_A_new_diag_fc1,,,0,N/A
syn_diag,refresh_A_new_diag_fc2,,,0,N/A
syn_diag,refresh_A_old_diag_conv1,,,0,N/A
syn_diag,refresh_A_old_diag_conv2,,,0,N/A
syn_diag,refresh_A_old_diag_fc1,,,0,N/A
syn_diag,refresh_A_old_diag_fc2,,,0,N/A
syn_diag,refresh_S_new_full_conv1,,,0,N/A
syn_diag,refresh_S_new_full_conv2,,,0,N/A
syn_diag,refresh_S_new_full_fc1,,,0,N/A
syn_diag,refresh_S_new_full_fc2,,,0,N/A
syn_diag,refresh_S_old_full_conv1,,,0,N/A
syn_diag,refresh_S_old_full_conv2,,,0,N/A
syn_diag,refresh_S_old_full_fc1,,,0,N/A
syn_diag,refresh_S_old_full_fc2,,,0,N/A
syn_diag,refresh_delta_stale_diag_conv1,,,0,N/A
syn_diag,refresh_delta_stale_diag_conv2,,,0,N/A
syn_diag,refresh_delta_stale_diag_fc1,,,0,N/A
syn_diag,refresh_delta_stale_diag_fc2,,,0,N/A
syn_diag,refresh_delta_stale_full_conv1,,,0,N/A
syn_diag,refresh_delta_stale_full_conv2,,,0,N/A
syn_diag,refresh_delta_stale_full_fc1,,,0,N/A
syn_diag,refresh_delta_stale_full_fc2,,,0,N/A
syn_diag,total_refresh_time,0.04133949801325798,,1,0.04133949801325798
syn_diag,wall_time,1.5585736045613885,,1,1.5585736045613885
dp_kfc,G_diag,,,0,N/A
dp_kfc,G_diag_new,,,0,N/A
dp_kfc,G_diag_old,,,0,N/A
dp_kfc,G_full,,,0,N/A
dp_kfc,G_full_new,,,0,N/A
dp_kfc,G_full_old,,,0,N/A
dp_kfc,best_accuracy,0.09375,,1,0.09375
dp_kfc,core_wall_time,0.21630541514605284,,1,0.21630541514605284
dp_kfc,diagnostic_seconds,1.4082149751484394,,1,1.4082149751484394
dp_kfc,final_accuracy,0.09375,,1,0.09375
dp_kfc,final_test_loss,10.088083744049072,,1,10.088083744049072
dp_kfc,late_aggregate_cosine,0.9278570520508379,,1,0.9278570520508379
dp_kfc,late_aggregate_cosine_iqr,0.06144029410785756,,1,0.06144029410785756
dp_kfc,late_aggregate_cosine_q25,0.8971369049969091,,1,0.8971369049969091
dp_kfc,late_aggregate_cosine_q75,0.9585771991047667,,1,0.9585771991047667
dp_kfc,late_coefficient_cv,0.6067941817052105,,1,0.6067941817052105
dp_kfc,late_coefficient_cv_iqr,0.3648499699328499,,1,0.3648499699328499
dp_kfc,late_coefficient_cv_q25,0.4243691967387856,,1,0.4243691967387856
dp_kfc,late_coefficient_cv_q75,0.7892191666716355,,1,0.7892191666716355
dp_kfc,late_mean_accuracy,0.078125,,1,0.078125
dp_kfc,late_norm_cv,0.3444794043511231,,1,0.3444794043511231
dp_kfc,late_norm_cv_iqr,0.1547095374875303,,1,0.1547095374875303
dp_kfc,late_norm_cv_q25,0.267124635607358,,1,0.267124635607358
dp_kfc,late_norm_cv_q75,0.4218341730948883,,1,0.4218341730948883
dp_kfc,late_shape_error,0.3226175401580118,,1,0.3226175401580118
dp_kfc,late_shape_error_iqr,0.17670400109021017,,1,0.17670400109021017
dp_kfc,late_shape_error_q25,0.23426553961290675,,1,0.23426553961290675
dp_kfc,late_shape_error_q75,0.4109695407031169,,1,0.4109695407031169
dp_kfc,late_snr,0.0017113611338059002,,1,0.0017113611338059002
dp_kfc,late_snr_iqr,0.0002200577159024999,,1,0.0002200577159024999
dp_kfc,late_snr_q25,0.0016013322758546501,,1,0.0016013322758546501
dp_kfc,late_snr_q75,0.00182138999175715,,1,0.00182138999175715
dp_kfc,mean_refresh_time,0.04649021988734603,,1,0.04649021988734603
dp_kfc,number_of_refreshes,2.0,,1,2.0
