aggregation,seed,n_runs,sample_count,method,learning_rate,layer,interval_count,oracle_beta_median,oracle_beta_mean,dp_beta_raw_median,dp_beta_raw_mean,negative_interval_rate,positive_interval_coverage,median_positive_ratio,median_log10_abs_ratio_error,mean_log10_abs_ratio_error,pearson,spearman,lag_positive_coverage,lag_median_log10_error,hold_median_log10_error,oracle_observability_snr_median
run,7,1,24,dp_fisher_wiener,0.1,fc2,24,0.2503520619275796,0.7962902587283788,0.23168410029262076,0.8179270331598691,0.0,1.0,1.058528626138368,0.03770848815005911,0.03776972606961107,0.9956378601734098,0.9982608695652172,1.0,0.129729017726088,0.129729017726088,12.147777412129553
run,91,1,24,dp_sgd,0.1,conv1,24,0.06641746583132875,0.4759796616004717,0.08892544862718871,0.4659113685736649,0.20833333333333334,0.7916666666666666,1.0024826438000938,0.07494581367819836,0.16319139210719194,0.9973754214648474,0.8765217391304346,0.8260869565217391,0.2701292704478547,0.2688585659491148,0.7492136088156366
run,91,1,24,dp_sgd,0.1,conv2,24,0.0045849162931696,0.053261029174371144,0.01131670154203955,0.053946940867541045,0.3333333333333333,0.6666666666666666,1.5590084497222942,0.3997467096749121,0.43899591150599454,0.9817869042763053,0.5434782608695652,0.6521739130434783,0.4760023700417655,0.5799908471267312,0.2384066736814304
run,91,1,24,dp_sgd,0.1,fc1,24,0.0006204467863418,0.008561118041736884,0.00074457459168555,0.0088670891071641,0.16666666666666666,0.8333333333333334,1.3051694673577365,0.16651958720396992,0.2839043932665407,0.9922542338699006,0.7521739130434782,0.8695652173913043,0.3393178102865346,0.3460484498105975,1.182632927700908
run,91,1,24,dp_sgd,0.1,fc2,24,0.01890036276191675,0.5311282742993609,0.016162828502157,0.47668546100228726,0.0,1.0,0.9778248445506725,0.0333882145599616,0.052782848731526326,0.9844105116460061,0.9721739130434782,1.0,0.0873226857082518,0.0873226857082518,5.9932084376954915
run,91,1,24,dp_fisher_wiener,0.1,conv1,24,0.5155941170358439,0.700790802607029,0.4917302578507805,0.6824533517615121,0.0,1.0,0.9671366522168798,0.045118504310578254,0.07801414513944022,0.9901731638973282,0.9869565217391304,1.0,0.0845507731157682,0.0845507731157682,5.399796253543222
run,91,1,24,dp_fisher_wiener,0.1,conv2,24,0.0868204158447872,0.08143363443901974,0.08801641103205846,0.08273654027340029,0.0,1.0,1.0359972471049697,0.11001349371308959,0.1729515857084454,0.6737276772454801,0.5391304347826086,1.0,0.0881766150167817,0.0881766150167817,2.550499581573087
run,91,1,24,dp_fisher_wiener,0.1,fc1,24,0.01586431378019805,0.02543861225190425,0.014314792362564551,0.026516688910333406,0.041666666666666664,0.9583333333333334,1.0611660190598664,0.08483913038517724,0.1137582770607417,0.974420188136628,0.9817391304347826,1.0,0.1298553238324404,0.1298553238324404,4.521119106465487
run,91,1,24,dp_fisher_wiener,0.1,fc2,24,0.6520924937134397,1.0045702767674036,0.5846891775275808,0.9357308186217255,0.0,1.0,0.9971705112356042,0.020037788268478084,0.034886107901349064,0.9622885998303491,0.997391304347826,1.0,0.0955590982865395,0.0955590982865395,10.702593928675757
pooled_across_seeds,pooled,3,72,dp_sgd,0.1,conv1,72,0.06221264274895415,0.48438240998839593,0.07809372259644815,0.47053532160805733,0.20833333333333334,0.7916666666666666,1.0125793836020962,0.1538058479345096,0.25252522940037936,0.9956493179531987,0.8137500803910219,0.7971014492753623,0.2825607301874997,0.2825607301874997,0.7023000229178389
pooled_across_seeds,pooled,3,72,dp_sgd,0.1,conv2,72,0.0042464741284326,0.06046094263483342,0.01085656630853215,0.05693328361241434,0.3611111111111111,0.6388888888888888,1.5590084497222942,0.5002539829365179,0.48918830722285767,0.9796685511188771,0.5119943404720562,0.6521739130434783,0.5000281643828456,0.6939024034519173,0.22122087765980106
pooled_across_seeds,pooled,3,72,dp_sgd,0.1,fc1,72,0.00051096300229985,0.009097431330926602,0.00072248565767165,0.010004264938057835,0.1111111111111111,0.8888888888888888,1.188498093728679,0.1940808504435378,0.2604162658655098,0.9869810302644688,0.679175509679079,0.8985507246376812,0.3158348777580148,0.335769990146175,1.1162008818661118
pooled_across_seeds,pooled,3,72,dp_sgd,0.1,fc2,72,0.0143937798775322,0.5158057961482607,0.01490373344228935,0.4965077301749624,0.0,1.0,0.9880169237838771,0.05163389084395679,0.06255709855590226,0.9931544372418009,0.9627950350504858,1.0,0.0947633795870756,0.0947633795870756,5.696907959302267
pooled_across_seeds,pooled,3,72,dp_fisher_wiener,0.1,conv1,72,0.5202926865001551,0.730442633062261,0.5233779145964945,0.7080901019466643,0.013888888888888888,0.9861111111111112,0.9538313743783123,0.046135918833628435,0.10007429428232327,0.987123013810162,0.9817030034085795,0.9855072463768116,0.1127038445167519,0.1141782807386078,5.44819126586691
pooled_across_seeds,pooled,3,72,dp_fisher_wiener,0.1,conv2,72,0.09278034896259045,0.08882099793871481,0.0833567156033168,0.08330423990457625,0.09722222222222222,0.9027777777777778,1.0173925785665676,0.13680394957998576,0.21024960413185703,0.7979156007532503,0.7868030098398611,0.9130434782608695,0.1655900998724188,0.185089123559243,2.4450425686725272
