contrast,metric,seed,difference,mean,sd,improvement_direction
dp_fisher_wiener - dp_sgd,late_relmse_filtered,7,-1939.4604906344648,,,negative difference improves
dp_fisher_wiener - dp_sgd,late_relmse_filtered,91,-1841.6038449795155,,,negative difference improves
dp_fisher_wiener - dp_sgd,late_relmse_filtered,aggregate,,-1925.1522404237228,77.3926938326423,negative difference improves
dp_fisher_wiener - dp_sgd,late_cosine_noisy,42,0.011702072571336198,,,positive difference improves
dp_fisher_wiener - dp_sgd,late_cosine_noisy,7,0.014888942606199797,,,positive difference improves
dp_fisher_wiener - dp_sgd,late_cosine_noisy,91,0.0228000460572827,,,positive difference improves
dp_fisher_wiener - dp_sgd,late_cosine_noisy,aggregate,,0.016463687078272896,0.005714115766060089,positive difference improves
dp_fisher_wiener - dp_sgd,late_cosine_filtered,42,0.2290157786646307,,,positive difference improves
dp_fisher_wiener - dp_sgd,late_cosine_filtered,7,0.25256694552249653,,,positive difference improves
dp_fisher_wiener - dp_sgd,late_cosine_filtered,91,0.2918657035271064,,,positive difference improves
dp_fisher_wiener - dp_sgd,late_cosine_filtered,aggregate,,0.2578161425714112,0.031752067901925085,positive difference improves
dp_fisher_wiener - dp_sgd,late_signal_retention,42,-0.1963006301007849,,,descriptive; interpret signal and noise jointly
dp_fisher_wiener - dp_sgd,late_signal_retention,7,-0.2317330308412151,,,descriptive; interpret signal and noise jointly
dp_fisher_wiener - dp_sgd,late_signal_retention,91,-0.4306910739237829,,,descriptive; interpret signal and noise jointly
dp_fisher_wiener - dp_sgd,late_signal_retention,aggregate,,-0.2862415782885943,0.1263451872747945,descriptive; interpret signal and noise jointly
dp_fisher_wiener - dp_sgd,late_noise_retention,42,-0.986833137951656,,,descriptive; interpret signal and noise jointly
dp_fisher_wiener - dp_sgd,late_noise_retention,7,-0.988229224289419,,,descriptive; interpret signal and noise jointly
dp_fisher_wiener - dp_sgd,late_noise_retention,91,-0.9916604188623761,,,descriptive; interpret signal and noise jointly
dp_fisher_wiener - dp_sgd,late_noise_retention,aggregate,,-0.9889075937011503,0.0024841093055319426,descriptive; interpret signal and noise jointly
dp_fisher_wiener - dp_sgd,late_snr_gain_db,42,17.814055794927086,,,positive difference improves
dp_fisher_wiener - dp_sgd,late_snr_gain_db,7,18.12410331220381,,,positive difference improves
dp_fisher_wiener - dp_sgd,late_snr_gain_db,91,18.40092321308288,,,positive difference improves
dp_fisher_wiener - dp_sgd,late_snr_gain_db,aggregate,,18.11302744007126,0.293590442335636,positive difference improves
dp_fisher_wiener - dp_sgd,late_mse_reduction,42,0.9867489848682623,,,positive difference improves
dp_fisher_wiener - dp_sgd,late_mse_reduction,7,0.9881338587435844,,,positive difference improves
dp_fisher_wiener - dp_sgd,late_mse_reduction,91,0.991231598112601,,,positive difference improves
dp_fisher_wiener - dp_sgd,late_mse_reduction,aggregate,,0.9887048139081491,0.0022952010205072398,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,final_accuracy,42,0.46559999999999996,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,final_accuracy,7,0.2546999999999999,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,final_accuracy,91,0.31999999999999995,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,final_accuracy,aggregate,,0.3467666666666666,0.10796778840623408,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,best_accuracy,42,0.46559999999999996,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,best_accuracy,7,0.2546999999999999,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,best_accuracy,91,0.31999999999999995,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,best_accuracy,aggregate,,0.3467666666666666,0.10796778840623408,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_mean_accuracy,42,0.4419285714285713,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_mean_accuracy,7,0.27507142857142847,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_mean_accuracy,91,0.29740000000000005,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_mean_accuracy,aggregate,,0.33813333333333323,0.0905799639210878,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,accuracy_auc,42,0.33629672897196267,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,accuracy_auc,7,0.25427336448598126,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,accuracy_auc,91,0.21882429906542056,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,accuracy_auc,aggregate,,0.2697981308411215,0.06025534602691394,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,final_test_loss,42,-1.519701350402832,,,negative difference improves
dp_fisher_wiener - dp_scalar_wiener,final_test_loss,7,-1.3677122569084168,,,negative difference improves
dp_fisher_wiener - dp_scalar_wiener,final_test_loss,91,-1.3723268421173098,,,negative difference improves
dp_fisher_wiener - dp_scalar_wiener,final_test_loss,aggregate,,-1.419913483142853,0.08644962370296327,negative difference improves
dp_fisher_wiener - dp_scalar_wiener,late_relmse_noisy,42,569.0133745912631,,,negative difference improves
dp_fisher_wiener - dp_scalar_wiener,late_relmse_noisy,7,421.73202225932766,,,negative difference improves
dp_fisher_wiener - dp_scalar_wiener,late_relmse_noisy,91,144.60012941520006,,,negative difference improves
dp_fisher_wiener - dp_scalar_wiener,late_relmse_noisy,aggregate,,378.4485087552636,215.49187357337078,negative difference improves
dp_fisher_wiener - dp_scalar_wiener,late_relmse_filtered,42,10.395399820767285,,,negative difference improves
dp_fisher_wiener - dp_scalar_wiener,late_relmse_filtered,7,7.324746299856747,,,negative difference improves
dp_fisher_wiener - dp_scalar_wiener,late_relmse_filtered,91,2.6170710974433393,,,negative difference improves
dp_fisher_wiener - dp_scalar_wiener,late_relmse_filtered,aggregate,,6.779072406022457,3.9177697010966313,negative difference improves
dp_fisher_wiener - dp_scalar_wiener,late_cosine_noisy,42,-0.025121273863520706,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_cosine_noisy,7,-0.0204799071650325,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_cosine_noisy,91,-0.0094126105315685,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_cosine_noisy,aggregate,,-0.01833793052004057,0.008070413488782537,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_cosine_filtered,42,0.1841014433449942,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_cosine_filtered,7,0.2131974575564377,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_cosine_filtered,91,0.25393913793442063,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_cosine_filtered,aggregate,,0.2170793462786175,0.03508030346832878,positive difference improves
