seed,run_id,method,learning_rate,layer,source_interval,target_interval,beta_dp_previous_raw,beta_oracle_current,lag_prediction_positive,lag_ratio,lag_log10_abs_ratio_error
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,8,9,0.24505520420625926,0.19084860919362895,True,1.2840292902403811,0.10857493062121774
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,9,10,0.14896005664562528,0.17757158579615168,True,0.8388732689284433,0.07630364437067522
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,10,11,0.16834561209171103,0.157730497607486,True,1.067299061660484,0.028286127606870565
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,11,12,0.06947239980220093,0.14057062361951175,True,0.49421705626237183,0.306082270441817
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,12,13,0.08682822748702029,0.11217085398897346,True,0.7740711994183054,0.11121909087737393
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,13,14,0.18369443463369514,0.07921777346966591,True,2.3188537949004013,0.36527336697793045
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,14,15,0.1097097493576311,0.053645177794192776,True,2.0450999301097936,0.31071453387633513
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,15,16,0.07455534893748988,0.038064008977359606,True,1.9586835685604018,0.29196428003343317
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,16,17,0.05145911598729617,0.02647496843902806,True,1.943689417640164,0.2886268701678994
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,17,18,-0.012219921954872431,0.01978413523575711,False,,
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,18,19,0.047805947045414625,0.015246176614176998,True,3.1356023385536016,0.4963209796748567
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,19,20,0.026339547718095883,0.010896679670809354,True,2.417208591407506,0.38331412917820634
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,20,21,0.04236295799896575,0.009093968820755027,True,4.658357515178786,0.668232816296355
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,21,22,0.01622071778470247,0.007575667522789119,True,2.141160199534538,0.3306491620030171
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,22,23,0.043634540732766486,0.007422278376832035,True,5.878860710609794,0.7692931704578039
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc1,0,1,0.10278847184167844,0.07846836694741093,True,1.309935147631742,0.11724979510396319
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc1,1,2,0.0785265235863544,0.06357683413488519,True,1.2351436597134078,0.09171747337895066
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc1,2,3,0.03931777900806031,0.05414026944592964,True,0.7262206008658181,0.1389314355175255
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc1,3,4,0.06405405799586653,0.0446721592140914,True,1.433869755184372,0.15650970420928884
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc1,4,5,0.047872949279253264,0.036804124695939945,True,1.3007495674672132,0.11419369015397943
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc1,5,6,0.024429013523372,0.029871666017844332,True,0.8177988301281531,0.08735351504513479
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc1,6,7,0.03177207449646852,0.023181080610768415,True,1.3706036845283776,0.13691189497604386
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc1,7,8,0.02093303127218662,0.016523141268766743,True,1.2668917448376342,0.10273950625812031
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc1,8,9,0.01756639768201346,0.012528264159012968,True,1.4021413867918808,0.14679180850051987
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc1,9,10,0.010252518466180074,0.008597390295450778,True,1.1925151835441379,0.07646391734523765
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc1,10,11,0.00954556238580623,0.005979588677752391,True,1.596357692849572,0.20313020946186833
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc1,11,12,0.007927712033681906,0.004609540007752313,True,1.7198488396562561,0.2354902777284524
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc1,12,13,0.005477183420985062,0.003014936184585207,True,1.8166830359424702,0.2592791607977832
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc1,13,14,0.005128327205002147,0.0023342116446078342,True,2.197027513271508,0.3418354956037953
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc1,14,15,0.0015753506254293712,0.0016357979679725216,True,0.9630471832544997,0.01635243465627158
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,fc1,15,16,0.0022936515820918247,0.001266501052080816,True,1.8110143519608113,0.2579218920328255
