window_size,seed,run_id,method,learning_rate,layer,window_index,n_steps,beta_oracle,beta_dp_raw,negative,log_error,trace_F,oracle_observability_snr
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,15,10,0.17552257160947735,0.12228617136509697,False,0.15695562523046935,0.08481251689781644,2.7567837923319276
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,16,10,0.15799848133214192,0.18474312188836775,False,0.06791536571680233,0.08481251689781644,2.485963326459905
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,17,10,0.12798455936215747,0.22810546777106605,False,0.2509781180464379,0.08481251689781644,2.019891948415023
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,18,10,0.11080617472706657,0.06422182812843545,False,0.23688129836970223,0.08481251689781644,1.7518572184986863
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,19,10,0.10059132001888847,0.11339178897214562,False,0.05202109991886676,0.08481251689781644,1.5920288746625932
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,20,10,0.08111929807319962,0.13897922332803783,False,0.23382569629019945,0.0926295557063872,1.4039142703243763
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,21,10,0.06917276164686101,0.1050763765759735,False,0.18156997352721344,0.0926295557063872,1.1987715235285994
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,22,10,0.06181824363927999,0.08984464797673496,False,0.16237554953881972,0.0926295557063872,1.0722074608120136
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,23,10,0.05453454246693473,0.07557846733000248,False,0.1417264066808847,0.0926295557063872,0.9466551765830528
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,24,10,0.049064233864513945,0.06623090578597449,False,0.13029567283059612,0.0926295557063872,0.8522252622052906
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,25,10,0.04085680518743713,0.18659126451434488,False,0.6596269040773598,0.09966713938942773,0.7640251909005502
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,26,10,0.03508142975861521,-0.03622095530637396,True,,0.09966713938942773,0.6564885761526096
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,27,10,0.030476525474898583,0.055043438621389405,False,0.2567401038554002,0.09966713938942773,0.5706372599994569
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,28,10,0.028667783956268428,-6.644622916969775e-05,True,,0.09966713938942773,0.5368896340570631
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,29,10,0.02389638386678286,-0.0409250781462278,True,,0.09966713938942773,0.44779281513355357
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,30,10,0.021626743133565954,-0.10556984174331221,True,,0.10521037832049274,0.42785783160103447
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,31,10,0.020380571425849342,-0.05336137693186343,True,,0.10521037832049274,0.40326899204576094
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,32,10,0.019490355824578698,0.05513363873039573,False,0.4515968882912673,0.10521037832049274,0.3856988450529065
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,33,10,0.01642397759990404,0.040649014711341046,False,0.39357167918003433,0.10521037832049274,0.3251468604866555
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,34,10,0.015774658532616052,-0.040378150978550346,True,,0.10521037832049274,0.31231853945749977
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,35,10,0.014476888877087537,0.03993269977884527,False,0.4406534322454967,0.10989261595095723,0.29940550893281975
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,36,10,0.013252001560805875,-0.022812471502978996,True,,0.10989261595095723,0.27411836018536456
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,37,10,0.01129184819580759,0.08578717900918528,False,0.8806573559069659,0.10989261595095723,0.23363457230417947
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,38,10,0.011113899469714297,0.07694086469956653,False,0.8402905987392162,0.10989261595095723,0.2299582651643024
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,39,10,0.01085940026153432,0.043759068791723386,False,0.6052622306062387,0.10989261595095723,0.22470016572452556
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,40,10,0.010476510449053249,0.06929652323009183,False,0.8204947950974862,0.1140711720102594,0.22501977339578771
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,41,10,0.00901638154244374,0.03600297101381029,False,0.6013060595287844,0.1140711720102594,0.19369821579531626
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,42,10,0.008294660629778834,-0.07912595076323535,True,,0.1140711720102594,0.17821166076735312
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,43,10,0.008888250260013386,0.0473228444898504,False,0.7262545671699191,0.1140711720102594,0.1909490279915905
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,44,10,0.008570557823985428,-0.0005945694038550683,True,,0.1140711720102594,0.18413218378280471
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,45,10,0.008710915900460957,0.0446673246661969,False,0.7099261204711104,0.11711480834682764,0.1921310413929542
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,46,10,0.007654060546011008,-0.08931551858793492,True,,0.11711480834682764,0.16884647565927324
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,47,10,0.007026504310553047,0.059422573233704735,False,0.9272121375297266,0.11711480834682764,0.1550168315537481
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,48,10,0.006470492360565507,0.07892529605846718,False,1.086278890869773,0.11711480834682764,0.14276173273028467
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,49,10,0.006704709952841612,0.02100263171733595,False,0.49589372212963284,0.11711480834682764,0.147924379569251
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,50,10,0.0068126748057125855,-0.03437529687450472,True,,0.1196293456089581,0.15352791720404452
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,51,10,0.006493571639529116,0.001955933339079101,False,0.5211295868501032,0.1196293456089581,0.14634362883846366
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,52,10,0.005285915888317923,-0.023903437109447093,True,,0.1196293456089581,0.11914833376976686
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,53,10,0.005864508797526743,-0.08991416352260018,True,,0.1196293456089581,0.13217892436635637
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,54,10,0.00571374540482575,0.018832350510851182,False,0.5179836437117633,0.1196293456089581,0.12878377071372615
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,55,10,0.00501807844176129,0.005362269150354859,False,0.028811163046980514,0.12223195767369077,0.11557460056185502
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,56,10,0.004946477442719424,-0.0007835195748575107,True,,0.12223195767369077,0.11392674431310504
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,57,10,0.005307203308150271,-0.09497337706490677,True,,0.12223195767369077,0.12222828232378113
