method,metric,mean,std,n,mean_pm_std
syn_diag,late_coefficient_cv,0.8346074621007694,0.012788633856327503,3,0.834607 ± 0.0127886
syn_diag,late_coefficient_cv_iqr,0.2051521021812004,0.005448128455445828,3,0.205152 ± 0.00544813
syn_diag,late_coefficient_cv_q25,0.7549917609344933,0.010793831773867541,3,0.754992 ± 0.0107938
syn_diag,late_coefficient_cv_q75,0.9601438631156937,0.005485185037566184,3,0.960144 ± 0.00548519
syn_diag,late_mean_accuracy,0.8857619047619046,0.00703861554878067,3,0.885762 ± 0.00703862
syn_diag,late_norm_cv,2.264317440545,0.1222025363538579,3,2.26432 ± 0.122203
syn_diag,late_norm_cv_iqr,0.3840568523321948,0.003185964086508305,3,0.384057 ± 0.00318596
syn_diag,late_norm_cv_q25,2.075972975767955,0.1275591866358012,3,2.07597 ± 0.127559
syn_diag,late_norm_cv_q75,2.46002982810015,0.12491595021565483,3,2.46003 ± 0.124916
syn_diag,late_shape_error,0.874943844619995,0.014602987363498557,3,0.874944 ± 0.014603
syn_diag,late_shape_error_iqr,0.1549008398175502,0.013033868696432796,3,0.154901 ± 0.0130339
syn_diag,late_shape_error_q25,0.7874204842649012,0.017264594495875068,3,0.78742 ± 0.0172646
syn_diag,late_shape_error_q75,0.9423213240824514,0.011547827969739674,3,0.942321 ± 0.0115478
syn_diag,late_snr,0.02561950360955963,0.00010260791925696807,3,0.0256195 ± 0.000102608
syn_diag,late_snr_iqr,0.007261864629749468,0.00032818406894538247,3,0.00726186 ± 0.000328184
syn_diag,late_snr_q25,0.022240410117087033,0.0001054318849501596,3,0.0222404 ± 0.000105432
syn_diag,late_snr_q75,0.0295022747468365,0.00043253736043814356,3,0.0295023 ± 0.000432537
syn_diag,mean_refresh_time,0.5365742096134151,0.0059911708573674345,3,0.536574 ± 0.00599117
syn_diag,number_of_refreshes,24.0,0.0,3,24 ± 0
syn_diag,oracle_A_diag_new_conv1,1.4811645952967973,0.3137324224816602,3,1.48116 ± 0.313732
syn_diag,oracle_A_diag_new_conv2,1.6459937465346393,0.4688875752047156,3,1.64599 ± 0.468888
syn_diag,oracle_A_diag_new_fc1,12.22266292373765,0.4454759555312777,3,12.2227 ± 0.445476
syn_diag,oracle_A_diag_new_fc2,12.698024744888803,0.07787199583512194,3,12.698 ± 0.077872
syn_diag,oracle_A_diag_old_conv1,1.4787440131517442,0.32654585510051926,3,1.47874 ± 0.326546
syn_diag,oracle_A_diag_old_conv2,1.6610280602707832,0.47366363320181465,3,1.66103 ± 0.473664
