pair,metric,seed,delta,mean,std,n
syn_diag - dp_sgd,oracle_R_full_new_conv1,42,,,,
syn_diag - dp_sgd,oracle_R_full_new_conv1,all,,,,0
syn_diag - dp_sgd,oracle_R_full_new_conv2,42,,,,
syn_diag - dp_sgd,oracle_R_full_new_conv2,all,,,,0
syn_diag - dp_sgd,oracle_R_full_new_fc1,42,,,,
syn_diag - dp_sgd,oracle_R_full_new_fc1,all,,,,0
syn_diag - dp_sgd,oracle_R_full_new_fc2,42,,,,
syn_diag - dp_sgd,oracle_R_full_new_fc2,all,,,,0
syn_diag - dp_sgd,oracle_R_full_old_conv1,42,,,,
syn_diag - dp_sgd,oracle_R_full_old_conv1,all,,,,0
syn_diag - dp_sgd,oracle_R_full_old_conv2,42,,,,
syn_diag - dp_sgd,oracle_R_full_old_conv2,all,,,,0
syn_diag - dp_sgd,oracle_R_full_old_fc1,42,,,,
syn_diag - dp_sgd,oracle_R_full_old_fc1,all,,,,0
syn_diag - dp_sgd,oracle_R_full_old_fc2,42,,,,
syn_diag - dp_sgd,oracle_R_full_old_fc2,all,,,,0
syn_diag - dp_sgd,oracle_S_full_new_conv1,42,,,,
syn_diag - dp_sgd,oracle_S_full_new_conv1,all,,,,0
syn_diag - dp_sgd,oracle_S_full_new_conv2,42,,,,
syn_diag - dp_sgd,oracle_S_full_new_conv2,all,,,,0
syn_diag - dp_sgd,oracle_S_full_new_fc1,42,,,,
syn_diag - dp_sgd,oracle_S_full_new_fc1,all,,,,0
syn_diag - dp_sgd,oracle_S_full_new_fc2,42,,,,
syn_diag - dp_sgd,oracle_S_full_new_fc2,all,,,,0
syn_diag - dp_sgd,oracle_S_full_old_conv1,42,,,,
syn_diag - dp_sgd,oracle_S_full_old_conv1,all,,,,0
syn_diag - dp_sgd,oracle_S_full_old_conv2,42,,,,
syn_diag - dp_sgd,oracle_S_full_old_conv2,all,,,,0
syn_diag - dp_sgd,oracle_S_full_old_fc1,42,,,,
syn_diag - dp_sgd,oracle_S_full_old_fc1,all,,,,0
syn_diag - dp_sgd,oracle_S_full_old_fc2,42,,,,
syn_diag - dp_sgd,oracle_S_full_old_fc2,all,,,,0
syn_diag - dp_sgd,oracle_S_full_raw_conv1,42,,,,
syn_diag - dp_sgd,oracle_S_full_raw_conv1,all,,,,0
syn_diag - dp_sgd,oracle_S_full_raw_conv2,42,,,,
syn_diag - dp_sgd,oracle_S_full_raw_conv2,all,,,,0
syn_diag - dp_sgd,oracle_S_full_raw_fc1,42,,,,
syn_diag - dp_sgd,oracle_S_full_raw_fc1,all,,,,0
syn_diag - dp_sgd,oracle_S_full_raw_fc2,42,,,,
syn_diag - dp_sgd,oracle_S_full_raw_fc2,all,,,,0
syn_diag - dp_sgd,oracle_private_delta_stale_diag_conv1,42,,,,
syn_diag - dp_sgd,oracle_private_delta_stale_diag_conv1,all,,,,0
syn_diag - dp_sgd,oracle_private_delta_stale_diag_conv2,42,,,,
syn_diag - dp_sgd,oracle_private_delta_stale_diag_conv2,all,,,,0
syn_diag - dp_sgd,oracle_private_delta_stale_diag_fc1,42,,,,
syn_diag - dp_sgd,oracle_private_delta_stale_diag_fc1,all,,,,0
syn_diag - dp_sgd,oracle_private_delta_stale_diag_fc2,42,,,,
syn_diag - dp_sgd,oracle_private_delta_stale_diag_fc2,all,,,,0
syn_diag - dp_sgd,oracle_private_delta_stale_full_conv1,42,,,,
syn_diag - dp_sgd,oracle_private_delta_stale_full_conv1,all,,,,0
syn_diag - dp_sgd,oracle_private_delta_stale_full_conv2,42,,,,
syn_diag - dp_sgd,oracle_private_delta_stale_full_conv2,all,,,,0
syn_diag - dp_sgd,oracle_private_delta_stale_full_fc1,42,,,,
syn_diag - dp_sgd,oracle_private_delta_stale_full_fc1,all,,,,0
syn_diag - dp_sgd,oracle_private_delta_stale_full_fc2,42,,,,
syn_diag - dp_sgd,oracle_private_delta_stale_full_fc2,all,,,,0
syn_diag - dp_sgd,peak_cuda_memory,42,5732864.0,,,
syn_diag - dp_sgd,peak_cuda_memory,all,,5732864.0,,1
syn_diag - dp_sgd,peak_cuda_memory_allocated,42,5732864.0,,,
syn_diag - dp_sgd,peak_cuda_memory_allocated,all,,5732864.0,,1
syn_diag - dp_sgd,peak_cuda_memory_core,42,5732864.0,,,
syn_diag - dp_sgd,peak_cuda_memory_core,all,,5732864.0,,1
syn_diag - dp_sgd,peak_cuda_memory_overall,42,5732864.0,,,
syn_diag - dp_sgd,peak_cuda_memory_overall,all,,5732864.0,,1
syn_diag - dp_sgd,peak_cuda_memory_reserved,42,20971520.0,,,
syn_diag - dp_sgd,peak_cuda_memory_reserved,all,,20971520.0,,1
syn_diag - dp_sgd,preconditioner_state_bytes,42,827688.0,,,
syn_diag - dp_sgd,preconditioner_state_bytes,all,,827688.0,,1
syn_diag - dp_sgd,refresh_A_new_diag_conv1,42,,,,
syn_diag - dp_sgd,refresh_A_new_diag_conv1,all,,,,0
syn_diag - dp_sgd,refresh_A_new_diag_conv2,42,,,,
syn_diag - dp_sgd,refresh_A_new_diag_conv2,all,,,,0
syn_diag - dp_sgd,refresh_A_new_diag_fc1,42,,,,
syn_diag - dp_sgd,refresh_A_new_diag_fc1,all,,,,0
syn_diag - dp_sgd,refresh_A_new_diag_fc2,42,,,,
syn_diag - dp_sgd,refresh_A_new_diag_fc2,all,,,,0
syn_diag - dp_sgd,refresh_A_old_diag_conv1,42,,,,
syn_diag - dp_sgd,refresh_A_old_diag_conv1,all,,,,0
syn_diag - dp_sgd,refresh_A_old_diag_conv2,42,,,,
syn_diag - dp_sgd,refresh_A_old_diag_conv2,all,,,,0
syn_diag - dp_sgd,refresh_A_old_diag_fc1,42,,,,
syn_diag - dp_sgd,refresh_A_old_diag_fc1,all,,,,0
syn_diag - dp_sgd,refresh_A_old_diag_fc2,42,,,,
syn_diag - dp_sgd,refresh_A_old_diag_fc2,all,,,,0
syn_diag - dp_sgd,refresh_S_new_full_conv1,42,,,,
syn_diag - dp_sgd,refresh_S_new_full_conv1,all,,,,0
syn_diag - dp_sgd,refresh_S_new_full_conv2,42,,,,
syn_diag - dp_sgd,refresh_S_new_full_conv2,all,,,,0
syn_diag - dp_sgd,refresh_S_new_full_fc1,42,,,,
syn_diag - dp_sgd,refresh_S_new_full_fc1,all,,,,0
syn_diag - dp_sgd,refresh_S_new_full_fc2,42,,,,
syn_diag - dp_sgd,refresh_S_new_full_fc2,all,,,,0
syn_diag - dp_sgd,refresh_S_old_full_conv1,42,,,,
syn_diag - dp_sgd,refresh_S_old_full_conv1,all,,,,0
syn_diag - dp_sgd,refresh_S_old_full_conv2,42,,,,
syn_diag - dp_sgd,refresh_S_old_full_conv2,all,,,,0
syn_diag - dp_sgd,refresh_S_old_full_fc1,42,,,,
syn_diag - dp_sgd,refresh_S_old_full_fc1,all,,,,0
syn_diag - dp_sgd,refresh_S_old_full_fc2,42,,,,
syn_diag - dp_sgd,refresh_S_old_full_fc2,all,,,,0
syn_diag - dp_sgd,refresh_delta_stale_diag_conv1,42,,,,
syn_diag - dp_sgd,refresh_delta_stale_diag_conv1,all,,,,0
syn_diag - dp_sgd,refresh_delta_stale_diag_conv2,42,,,,
syn_diag - dp_sgd,refresh_delta_stale_diag_conv2,all,,,,0
syn_diag - dp_sgd,refresh_delta_stale_diag_fc1,42,,,,
syn_diag - dp_sgd,refresh_delta_stale_diag_fc1,all,,,,0
syn_diag - dp_sgd,refresh_delta_stale_diag_fc2,42,,,,
syn_diag - dp_sgd,refresh_delta_stale_diag_fc2,all,,,,0
syn_diag - dp_sgd,refresh_delta_stale_full_conv1,42,,,,
syn_diag - dp_sgd,refresh_delta_stale_full_conv1,all,,,,0
syn_diag - dp_sgd,refresh_delta_stale_full_conv2,42,,,,
syn_diag - dp_sgd,refresh_delta_stale_full_conv2,all,,,,0
syn_diag - dp_sgd,refresh_delta_stale_full_fc1,42,,,,
syn_diag - dp_sgd,refresh_delta_stale_full_fc1,all,,,,0
syn_diag - dp_sgd,refresh_delta_stale_full_fc2,42,,,,
syn_diag - dp_sgd,refresh_delta_stale_full_fc2,all,,,,0
syn_diag - dp_sgd,total_refresh_time,42,0.05523949582129717,,,
syn_diag - dp_sgd,total_refresh_time,all,,0.05523949582129717,,1
syn_diag - dp_sgd,wall_time,42,0.3702743509784341,,,
syn_diag - dp_sgd,wall_time,all,,0.3702743509784341,,1
dp_kfc - dp_sgd,G_diag,42,,,,
dp_kfc - dp_sgd,G_diag,all,,,,0
dp_kfc - dp_sgd,G_diag_new,42,,,,
dp_kfc - dp_sgd,G_diag_new,all,,,,0
dp_kfc - dp_sgd,G_diag_old,42,,,,
dp_kfc - dp_sgd,G_diag_old,all,,,,0
dp_kfc - dp_sgd,G_full,42,,,,
dp_kfc - dp_sgd,G_full,all,,,,0
dp_kfc - dp_sgd,G_full_new,42,,,,
dp_kfc - dp_sgd,G_full_new,all,,,,0
dp_kfc - dp_sgd,G_full_old,42,,,,
dp_kfc - dp_sgd,G_full_old,all,,,,0
dp_kfc - dp_sgd,best_accuracy,42,0.0,,,
dp_kfc - dp_sgd,best_accuracy,all,,0.0,,1
dp_kfc - dp_sgd,core_wall_time,42,-0.08956366125494242,,,
dp_kfc - dp_sgd,core_wall_time,all,,-0.08956366125494242,,1
dp_kfc - dp_sgd,diagnostic_seconds,42,0.6131928777322173,,,
dp_kfc - dp_sgd,diagnostic_seconds,all,,0.6131928777322173,,1
dp_kfc - dp_sgd,final_accuracy,42,0.0,,,
dp_kfc - dp_sgd,final_accuracy,all,,0.0,,1
dp_kfc - dp_sgd,final_test_loss,42,0.30200910568237305,,,
dp_kfc - dp_sgd,final_test_loss,all,,0.30200910568237305,,1
dp_kfc - dp_sgd,late_aggregate_cosine,42,-0.017880288607248107,,,
dp_kfc - dp_sgd,late_aggregate_cosine,all,,-0.017880288607248107,,1
dp_kfc - dp_sgd,late_aggregate_cosine_iqr,42,0.01836143210104546,,,
dp_kfc - dp_sgd,late_aggregate_cosine_iqr,all,,0.01836143210104546,,1
dp_kfc - dp_sgd,late_aggregate_cosine_q25,42,-0.027061004657770837,,,
dp_kfc - dp_sgd,late_aggregate_cosine_q25,all,,-0.027061004657770837,,1
dp_kfc - dp_sgd,late_aggregate_cosine_q75,42,-0.008699572556725377,,,
dp_kfc - dp_sgd,late_aggregate_cosine_q75,all,,-0.008699572556725377,,1
dp_kfc - dp_sgd,late_coefficient_cv,42,0.14493604559012485,,,
dp_kfc - dp_sgd,late_coefficient_cv,all,,0.14493604559012485,,1
dp_kfc - dp_sgd,late_coefficient_cv_iqr,42,0.08794805776320969,,,
dp_kfc - dp_sgd,late_coefficient_cv_iqr,all,,0.08794805776320969,,1
dp_kfc - dp_sgd,late_coefficient_cv_q25,42,0.10096201670852012,,,
dp_kfc - dp_sgd,late_coefficient_cv_q25,all,,0.10096201670852012,,1
dp_kfc - dp_sgd,late_coefficient_cv_q75,42,0.1889100744717298,,,
dp_kfc - dp_sgd,late_coefficient_cv_q75,all,,0.1889100744717298,,1
dp_kfc - dp_sgd,late_mean_accuracy,42,-0.015625,,,
dp_kfc - dp_sgd,late_mean_accuracy,all,,-0.015625,,1
dp_kfc - dp_sgd,late_norm_cv,42,0.05347250601494191,,,
dp_kfc - dp_sgd,late_norm_cv,all,,0.05347250601494191,,1
dp_kfc - dp_sgd,late_norm_cv_iqr,42,0.04402261861684112,,,
dp_kfc - dp_sgd,late_norm_cv_iqr,all,,0.04402261861684112,,1
dp_kfc - dp_sgd,late_norm_cv_q25,42,0.031461196706521394,,,
