seed,family,alpha,run_id,layer,filtered_gradient_norm,filter_gradient_norm_ratio,parameter_update_norm,gradient_norm_into_adam,adam_first_moment_norm,adam_second_moment_sqrt_norm,adam_normalized_update_norm,signal_retention,noise_retention,cosine_filtered,snr_gain_db,relmse_filtered,beta_train,clean_gradient_distortion
123,adaptive_beta,0.5,dp_fisher_wiener_adaptive_beta_alpha0p50_adam,fc1,153.2098272930282,0.5000500257799169,0.31256217740973424,153.20982729302824,21.614385801733608,7.440932489127265,312.5621629787362,0.3439080660493973,0.25004832226619367,0.0022004747920171,1.2567507938438989,108926.68237715104,53.48826052049554,0.45627500423251227
123,adaptive_beta,0.5,dp_fisher_wiener_adaptive_beta_alpha0p50_adam,fc2,12.301473884160465,0.5001173247338023,0.025000024341408474,12.301473884160465,1.7147537811269888,0.595030739032548,25.00002277648161,0.2568769704594145,0.25011926463724676,0.01030335543435425,0.11568690310635765,6396.712593880844,1.0,0.4933038247137602
123,adaptive_beta,0.75,dp_fisher_wiener_adaptive_beta_alpha0p75_adam,conv1,2.2533357672559133,0.25260337555552553,0.008817575338802999,2.253335767255914,0.31222245695587825,0.10807757320453376,8.81757906042881,0.06606779745741652,0.06381438160403445,0.046316022991012,0.14527732505858967,7765.465472799854,568.9773181672698,0.7431350675392536
123,adaptive_beta,0.75,dp_fisher_wiener_adaptive_beta_alpha0p75_adam,conv2,11.644631851785567,0.2500014864007014,0.047533583763307796,11.644631851785567,1.625669674836875,0.5626939339421824,47.53358210826028,0.0625305852684422,0.06250074301183614,0.0006645780184237247,0.0020731225869952,9259.811636356604,1.0,0.7499388485550713
123,adaptive_beta,0.75,dp_fisher_wiener_adaptive_beta_alpha0p75_adam,fc1,76.6274364203831,0.2500985011488476,0.3125638261585651,76.6274364203831,10.809021561776863,3.72107397328472,312.56381135740355,0.1752801048497232,0.06254701066210037,0.00415413412821245,3.5608031671750204,27141.040144510403,53.48831778138102,0.683257145056591
123,adaptive_beta,0.75,dp_fisher_wiener_adaptive_beta_alpha0p75_adam,fc2,6.1537794309399505,0.25018303302672074,0.025003289513270202,6.1537794309399505,0.8580135490257915,0.2977017765718193,25.003288841012022,0.06781622079211995,0.06259308409370357,0.00966800869626315,0.3473046393049707,1597.941630539145,1.0,0.7399798396338105
123,adaptive_beta,1.0,dp_fisher_wiener_adaptive_beta_adam,conv1,0.049023464304879014,0.005342151427225564,0.0091495389692701,0.049023464304879014,0.006316756808143838,0.00195066889951613,9.149538684364153,0.0002162636930690611,5.7048329690460486e-05,0.08334171079733213,5.403532850605571,11.434793635151266,560.2290526494506,
123,adaptive_beta,1.0,dp_fisher_wiener_adaptive_beta_adam,conv2,0.0007289386130611249,1.5661304159887846e-05,0.046044555610630075,0.0007289386130611249,9.222068743486237e-05,3.461277322917823e-05,46.04455547063712,1.4705833491668818e-08,2.4746639465607484e-10,0.07169542093688552,17.748939739482964,0.9989182351345477,1.0,
123,adaptive_beta,1.0,dp_fisher_wiener_adaptive_beta_adam,fc1,1.3257115335195038,0.004327327724323125,0.30660476135851766,1.3257115335195038,0.14549885120494577,0.052014116929177304,306.6047626144011,0.13593107419972203,3.161537599230112e-05,0.07903420295186768,36.65422852651987,22.055882040545782,53.40018165462298,
123,adaptive_beta,1.0,dp_fisher_wiener_adaptive_beta_adam,fc2,0.12530730544834615,0.0050803556440206996,0.02726582627651458,0.12530730544834615,0.018828911745754774,0.005355274663519675,27.265825570157276,0.00582834690604545,3.0152410202385797e-05,-0.04364288471117957,18.37648622243651,1.3821498356969846,1.0,
mean,adaptive_beta,0.0,,conv1,8.917816869827906,1.0,0.008815601500622976,8.917816869827906,1.240677984036673,0.4297150592197857,8.815605668787578,1.0,1.0,0.046453061598199924,0.0,122026.95345020731,,0.0
mean,adaptive_beta,0.0,,conv2,46.578222055601856,1.0,0.0475336201488935,46.57822205560186,6.5026434594263485,2.2507620720064283,47.5336211028098,1.0,1.0,0.0004064774768268247,0.0,148317.0319683955,,0.0
mean,adaptive_beta,0.0,,fc1,306.38900359471495,1.0,0.3125622653641996,306.38900359471495,43.22633748481695,14.881027124253551,312.56225153066083,1.0,1.0,0.0013327145469373249,0.0,435605.95760220755,,0.0
mean,adaptive_beta,0.0,,fc2,24.5972015397069,1.0,0.025004043272538024,24.5972015397069,3.428329445344869,1.189711131083081,25.004041765263334,1.0,1.0,0.010587935144397325,0.0,25573.74985032311,,0.0
mean,adaptive_beta,0.25,,conv1,6.696212786976273,0.7508562539122651,0.0088157819553222,6.696212786976273,0.931176496715808,0.3224984193506512,8.815784716934663,0.5659254040371674,0.5637850248567071,0.04611064244891357,0.016387851313571452,68474.95925286454,569.0362029556904,0.2477324065683216
mean,adaptive_beta,0.25,,conv2,34.93369077469325,0.7500004985370401,0.04753360760325935,34.93369077469325,4.8769852590440195,1.6880726296343798,47.533607836124595,0.5625308276360217,0.5625007443215224,0.0004227035415146742,0.000232260600315425,83386.62068704027,1.0,0.24997944981687004
