step,layer,R_diag,A_diag_raw,A_diag_pre,R_full,S_full_raw,S_full_pre,rank_raw,rank_pre,eigen_tolerance_raw,eigen_tolerance_pre,R_diag_new,R_full_new,A_diag_new,S_full_new,rank_new,eigen_tolerance_new,R_diag_old,R_full_old,A_diag_old,S_full_old,rank_old,eigen_tolerance_old,private_delta_stale_diag,private_delta_stale_full
100,fc1,1.0,10.098863998461557,10.098863998461557,1.0,6.788887013203038,6.788887013203038,512,512,4.407909581342475e-09,4.407909581342475e-09,1.0,1.0,10.098863998461557,6.788887013203038,512,4.407909581342475e-09,,,,,,,,
100,fc2,1.0,11.893163289481679,11.893163289481679,1.0,7.935119481727982,7.935119481727982,512,512,1.7025784883425935e-11,1.7025784883425935e-11,1.0,1.0,11.893163289481679,7.935119481727982,512,1.7025784883425935e-11,,,,,,,,
150,conv1,1.0,1.6973440973470912,1.6973440973470912,1.0,3.6327722768960538,3.6327722768960538,160,160,5.5873921227176707e-14,5.5873921227176707e-14,1.0,1.0,1.6973440973470912,3.6327722768960538,160,5.5873921227176707e-14,,,,,,,,
150,conv2,1.0,2.4950213705839115,2.4950213705839115,1.0,8.87106276288055,8.87106276288055,509,509,2.7834532386968335e-12,2.7834532386968335e-12,1.0,1.0,2.4950213705839115,8.87106276288055,509,2.7834532386968335e-12,,,,,,,,
150,fc1,1.0,10.310741785922902,10.310741785922902,1.0,7.629007297170551,7.629007297170551,464,464,7.255937747287648e-09,7.255937747287648e-09,1.0,1.0,10.310741785922902,7.629007297170551,464,7.255937747287648e-09,,,,,,,,
150,fc2,1.0,12.10985903966758,12.10985903966758,1.0,9.369312065355647,9.369312065355647,484,484,3.1561797897295713e-11,3.1561797897295713e-11,1.0,1.0,12.10985903966758,9.369312065355647,484,3.1561797897295713e-11,,,,,,,,
200,conv1,1.0,1.7917200886760194,1.7917200886760194,1.0,4.194847909851267,4.194847909851267,160,160,6.11891913402814e-14,6.11891913402814e-14,1.0,1.0,1.7917200886760194,4.194847909851267,160,6.11891913402814e-14,,,,,,,,
200,conv2,1.0,2.504954924139579,2.504954924139579,1.0,9.4181707775144,9.4181707775144,489,489,3.4628112080993678e-12,3.4628112080993678e-12,1.0,1.0,2.504954924139579,9.4181707775144,489,3.4628112080993678e-12,,,,,,,,
200,fc1,1.0,10.404008111127434,10.404008111127434,1.0,7.953607772507699,7.953607772507699,426,426,8.492156215754068e-09,8.492156215754068e-09,1.0,1.0,10.404008111127434,7.953607772507699,426,8.492156215754068e-09,,,,,,,,
200,fc2,1.0,12.195490024604203,12.195490024604203,1.0,9.647065675254838,9.647065675254838,453,453,4.033824765218686e-11,4.033824765218686e-11,1.0,1.0,12.195490024604203,9.647065675254838,453,4.033824765218686e-11,,,,,,,,
250,conv1,1.0,1.8207675489676507,1.8207675489676507,1.0,4.736309004860616,4.736309004860616,160,160,8.193366945540271e-14,8.193366945540271e-14,1.0,1.0,1.8207675489676507,4.736309004860616,160,8.193366945540271e-14,,,,,,,,
250,conv2,1.0,2.4486764714234606,2.4486764714234606,1.0,9.764199938372384,9.764199938372384,455,455,4.210429030226721e-12,4.210429030226721e-12,1.0,1.0,2.4486764714234606,9.764199938372384,455,4.210429030226721e-12,,,,,,,,
250,fc1,1.0,10.480025330538245,10.480025330538245,1.0,8.14578501463042,8.14578501463042,385,385,8.834838664517964e-09,8.834838664517964e-09,1.0,1.0,10.480025330538245,8.14578501463042,385,8.834838664517964e-09,,,,,,,,
250,fc2,1.0,12.24899894968987,12.24899894968987,1.0,9.93791171359599,9.93791171359599,419,419,3.7481923900324215e-11,3.7481923900324215e-11,1.0,1.0,12.24899894968987,9.93791171359599,419,3.7481923900324215e-11,,,,,,,,
300,conv1,1.0,1.7711223713874211,1.7711223713874211,1.0,5.245568054598528,5.245568054598528,160,160,9.466585110986281e-14,9.466585110986281e-14,1.0,1.0,1.7711223713874211,5.245568054598528,160,9.466585110986281e-14,,,,,,,,
