seed,run_id,learning_rate,interval_index,layer,n_steps,gamma_model,gamma_oracle,gamma_dp_raw,gamma_dp_valid,model_to_oracle_ratio,model_multiplicative_error,clean_signal_energy_in,clean_signal_energy_filtered,signal_retention_oracle,signal_retention_after_model_gamma,noise_energy_in,noise_energy_filtered,noise_retention_oracle,noise_retention_after_model_gamma,dp_signal_energy_in,dp_signal_energy_out
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,2,conv2,50,2.1927682085802633,3.7109303173742005,4.969511899319727,True,0.5908944714790101,1.6923495620072362,0.035429015205496045,0.002572725682712721,0.07261634758376288,0.34915627642445873,4.048802191417916,0.009913664745960386,0.0024485426250198104,0.011773162022949897,0.046678478669974655,0.0018901193296949788
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,3,conv2,50,2.4074087897025898,3.8811248161513605,2.558848513293123,True,0.620286361233249,1.6121586133407917,0.029345342120350632,0.0019481570188193628,0.06638726550979074,0.38475516993198466,4.023218356343546,0.009031310132911929,0.0022447974067010194,0.013009986193071197,0.01396847721548572,0.002133339191719699
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,4,conv2,50,5.087124890908202,7.758898876716643,7.649598445228627,True,0.6556503663392165,1.5252031438393585,0.02811313574354933,0.0004669916403152997,0.016611154464419815,0.4298774028807487,4.036685505094731,0.001880378757461469,0.00046582245634152795,0.012054944655685683,0.02378526698444562,0.0004064721123908032
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,5,conv2,50,3.5451376813920215,4.874342908476668,3.9401445483210975,True,0.7273057616087888,1.3749375472951237,0.025964576716925074,0.0010928211464802302,0.042088925939157404,0.5289736708693403,4.030185963121167,0.004010285031055051,0.0009950620313185984,0.012505940783810815,0.015205615746436613,0.0009794442074703936
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,6,conv2,50,4.782553762092309,6.118806498158966,8.185384317800569,True,0.7816154610431446,1.279401508595287,0.022712450447472977,0.0006066393174390259,0.026709549409562786,0.6109227289416874,4.0607712055289085,0.0022685468573019098,0.0005586492669700743,0.012777884398770088,0.04406230545007629,0.0006576412809601011
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,7,conv2,50,2.4728953048398283,2.952592177107418,1.6261825334468945,True,0.8375336506047587,1.1939818767615236,0.018846016470156785,0.0021617856856347584,0.11470783170852095,0.701462615895334,4.027947178318888,0.00968106450159104,0.0024034735494300966,0.014697748341216708,0.008110454583381083,0.0030669494120747487
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,8,conv2,50,8.173994191648427,9.75415877020569,7.410183471930653,True,0.8380009372634047,1.1933160877667073,0.016034388200557147,0.00016852826629124476,0.010510426976277704,0.7022455708543449,4.032971823662132,0.0007516270705782276,0.00018637052363428466,0.0124521939075716,0.00894876713308522,0.00016296910666724947
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,9,conv2,50,7.467199988126481,8.873815587993366,10.656383140680177,True,0.8414869470839473,1.1883725629557975,0.015137180939590494,0.0001922313446972949,0.012699283008140836,0.7081002821126621,4.039067211386691,0.0008436599279248206,0.0002088749416069201,0.011646673673097314,0.015773410159238457,0.0001389011824857268
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,10,conv2,50,4.800714436827613,5.549502615004433,3.8669905673023197,True,0.8650711189589697,1.1559743217452505,0.012366659033615513,0.000401554286334816,0.032470717050037214,0.748348040856924,4.035356702563626,0.0023505030392081743,0.0005824771420367673,0.013424268623801625,0.010245402439395673,0.0006851454796471465
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,11,conv2,50,6.626024462125068,7.692786320799364,8.456994549098937,True,0.8613295866817411,1.1609957622058293,0.010454219042912319,0.00017665431767599355,0.016897897102678413,0.741888656893339,4.039446071582119,0.001072654181031896,0.00026554486977264496,0.011658535117326395,0.011340598329715165,0.000158563735012965
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,12,conv2,50,6.129293320761725,7.121777791071908,8.68940620568885,True,0.8606409102577739,1.161924779639497,0.008801834931836854,0.0001735387167317062,0.01971619759693567,0.7407027764093296,4.043314147126197,0.0012729239442447525,0.0003148219252638306,0.011827304578936283,0.01444498654326297,0.00019130967859113724
